method,block_rows,degree,distribution,locality,rhs,seed,gpu_median_ms,gpu_p95_ms,hot_median_ms,hot_p95_ms,useful_gflops,launches,workspace_bytes
row_owned_scalar,1024,16,uniform,local,8,1,0.43638,0.64582,0.44200,0.65250,615.13589,1,0
scalar_csr_cusparse,1024,16,uniform,local,8,1,0.92848,1.11725,0.93540,1.12330,289.11279,1,0
slot_grouped_cublas,1024,16,uniform,local,8,1,2.07718,2.45024,2.08390,2.45690,129.23047,16,0
row_owned_hybrid,1024,16,uniform,local,16,1,0.37373,0.74106,0.37920,0.74760,1436.52844,1,0
row_owned_scalar,1024,16,uniform,local,16,1,0.85693,1.02125,0.86280,1.02710,626.50645,1,0
scalar_csr_cusparse,1024,16,uniform,local,16,1,1.53354,1.69616,1.57340,1.73300,350.08694,1,0
slot_grouped_cublas,1024,16,uniform,local,16,1,2.08957,2.59594,2.10910,2.61660,256.92915,16,0
row_owned_hybrid,1024,16,uniform,local,32,1,0.40192,0.42054,0.40770,0.57100,2671.53127,1,0
row_owned_scalar,1024,16,uniform,local,32,1,1.85098,1.96022,1.86050,1.96780,580.09495,1,0
scalar_csr_cusparse,1024,16,uniform,local,32,1,3.19898,3.29030,3.20890,3.29690,335.65172,1,0
slot_grouped_cublas,1024,16,uniform,local,32,1,2.11782,2.50518,2.13110,2.52810,507.00237,16,0
row_owned_hybrid,1024,16,uniform,local,64,1,0.63200,0.65408,0.69360,0.95600,3397.91701,1,0
row_owned_scalar,1024,16,uniform,local,64,1,3.28672,3.74714,3.40880,3.75810,653.38198,1,0
scalar_csr_cusparse,1024,16,uniform,local,64,1,6.29520,6.43370,6.30290,6.44340,341.13034,1,0
slot_grouped_cublas,1024,16,uniform,local,64,1,2.22362,2.33808,2.28690,2.47400,965.76197,16,0
row_owned_hybrid,1024,2,uniform,random,8,1,0.03539,0.03552,0.04070,0.04650,948.07953,1,0
row_owned_scalar,1024,2,uniform,random,8,1,0.03542,0.03606,0.04080,0.04180,947.22309,1,0
scalar_csr_cusparse,1024,2,uniform,random,8,1,0.13126,0.14813,0.13660,0.15320,255.62555,1,0
slot_grouped_cublas,1024,2,uniform,random,8,1,0.24531,0.26749,0.25220,0.27320,136.78267,2,0
row_owned_hybrid,1024,2,uniform,random,16,1,0.05584,0.05798,0.06240,0.06440,1201.80629,1,0
row_owned_scalar,1024,2,uniform,random,16,1,0.06259,0.06323,0.06820,0.06840,1072.16360,1,0
scalar_csr_cusparse,1024,2,uniform,random,16,1,0.20541,0.21485,0.21090,0.22020,326.71007,1,0
slot_grouped_cublas,1024,2,uniform,random,16,1,0.26163,0.26480,0.26710,0.27010,256.50098,2,0
row_owned_hybrid,1024,2,uniform,random,32,1,0.04554,0.04582,0.05090,0.05620,2947.50806,1,0
row_owned_scalar,1024,2,uniform,random,32,1,0.11715,0.11760,0.12250,0.12340,1145.67169,1,0
scalar_csr_cusparse,1024,2,uniform,random,32,1,0.39347,0.40269,0.39960,0.41220,341.11127,1,0
slot_grouped_cublas,1024,2,uniform,random,32,1,0.26403,0.53520,0.27010,0.54370,508.33886,2,0
row_owned_hybrid,1024,2,uniform,random,64,1,0.06611,0.06842,0.07170,0.08070,4060.31385,1,0
row_owned_scalar,1024,2,uniform,random,64,1,0.22822,0.22864,0.23420,0.23510,1176.19296,1,0
scalar_csr_cusparse,1024,2,uniform,random,64,1,0.76733,1.07683,0.77630,1.08320,349.83142,1,0
slot_grouped_cublas,1024,2,uniform,random,64,1,0.25715,0.25760,0.26280,0.26410,1043.87858,2,0
row_owned_hybrid,1024,4,uniform,random,8,1,0.06061,0.06163,0.06630,0.07070,1107.26083,1,0
row_owned_scalar,1024,4,uniform,random,8,1,0.06016,0.06208,0.06550,0.06740,1115.50639,1,0
scalar_csr_cusparse,1024,4,uniform,random,8,1,0.25462,0.27325,0.25990,0.28070,263.56063,1,0
slot_grouped_cublas,1024,4,uniform,random,8,1,0.49347,0.51443,0.49920,0.52070,135.99325,4,0
row_owned_hybrid,1024,4,uniform,random,16,1,0.09091,0.09283,0.09640,0.10060,1476.34778,1,0
row_owned_scalar,1024,4,uniform,random,16,1,0.11306,0.11379,0.11840,0.11930,1187.17920,1,0
scalar_csr_cusparse,1024,4,uniform,random,16,1,0.40339,0.40496,0.40920,0.41210,332.72284,1,0
slot_grouped_cublas,1024,4,uniform,random,16,1,0.50864,0.51622,0.51460,0.52230,263.87569,4,0
row_owned_hybrid,1024,4,uniform,random,32,1,0.08051,0.08070,0.08590,0.09160,3334.10484,1,0
row_owned_scalar,1024,4,uniform,random,32,1,0.21366,0.42451,0.21900,0.43030,1256.34389,1,0
scalar_csr_cusparse,1024,4,uniform,random,32,1,0.78794,1.08730,0.79380,1.09390,340.68181,1,0
slot_grouped_cublas,1024,4,uniform,random,32,1,0.52102,0.52368,0.52700,0.52980,515.20748,4,0
row_owned_hybrid,1024,4,uniform,random,64,1,0.12883,0.12970,0.13400,0.13890,4167.21717,1,0
row_owned_scalar,1024,4,uniform,random,64,1,0.41923,0.68710,0.42480,0.69380,1280.60572,1,0
scalar_csr_cusparse,1024,4,uniform,random,64,1,1.55805,1.97635,1.56550,1.98200,344.57918,1,0
slot_grouped_cublas,1024,4,uniform,random,64,1,0.52374,0.74195,0.53010,0.74920,1025.06363,4,0
row_owned_hybrid,1024,8,uniform,random,8,1,0.22186,0.22442,0.22710,0.23330,604.97678,1,0
row_owned_scalar,1024,8,uniform,random,8,1,0.23971,0.50848,0.24540,0.51400,559.91243,1,0
scalar_csr_cusparse,1024,8,uniform,random,8,1,0.56794,0.56899,0.57320,0.57610,236.32544,1,0
slot_grouped_cublas,1024,8,uniform,random,8,1,1.04003,1.22653,1.04630,1.23320,129.05153,8,0
row_owned_hybrid,1024,8,uniform,random,16,1,0.22637,0.22986,0.23210,0.23720,1185.83661,1,0
row_owned_scalar,1024,8,uniform,random,16,1,0.38803,0.73565,0.39350,0.74230,691.78692,1,0
scalar_csr_cusparse,1024,8,uniform,random,16,1,0.86314,1.01709,0.86870,1.02410,311.00019,1,0
slot_grouped_cublas,1024,8,uniform,random,16,1,1.04762,1.30339,1.05430,1.31070,256.23459,8,0
row_owned_hybrid,1024,8,uniform,random,32,1,0.21984,0.22058,0.22500,0.23140,2442.09834,1,0
row_owned_scalar,1024,8,uniform,random,32,1,0.76928,1.00582,0.77580,1.01160,697.88751,1,0
scalar_csr_cusparse,1024,8,uniform,random,32,1,1.76150,2.00109,1.78320,2.01190,304.77983,1,0
slot_grouped_cublas,1024,8,uniform,random,32,1,1.04890,1.31357,1.05570,1.32040,511.84382,8,0
row_owned_hybrid,1024,8,uniform,random,64,1,0.32659,0.34867,0.33160,0.36070,3287.71626,1,0
row_owned_scalar,1024,8,uniform,random,64,1,1.46160,1.80518,1.46890,1.81220,734.63455,1,0
scalar_csr_cusparse,1024,8,uniform,random,64,1,3.59130,3.70221,3.59950,3.70840,298.98450,1,0
slot_grouped_cublas,1024,8,uniform,random,64,1,1.06106,1.35811,1.06960,1.36580,1011.95583,8,0
row_owned_hybrid,1024,16,uniform,random,8,1,0.43888,0.43914,0.44410,0.44970,611.63748,1,0
row_owned_scalar,1024,16,uniform,random,8,1,0.43904,0.62592,0.44500,0.63270,611.41457,1,0
scalar_csr_cusparse,1024,16,uniform,random,8,1,0.92896,1.11587,0.93530,1.12280,288.96341,1,0
slot_grouped_cublas,1024,16,uniform,random,8,1,2.07661,2.45693,2.08360,2.46460,129.26631,16,0
row_owned_hybrid,1024,16,uniform,random,16,1,0.43776,0.44365,0.44310,0.45470,1226.40469,1,0
row_owned_scalar,1024,16,uniform,random,16,1,0.86070,0.86310,0.86700,0.86880,623.75789,1,0
scalar_csr_cusparse,1024,16,uniform,random,16,1,1.51594,1.70358,1.52220,1.70950,354.15143,1,0
slot_grouped_cublas,1024,16,uniform,random,16,1,2.09997,2.44646,2.12230,2.46030,255.65672,16,0
row_owned_hybrid,1024,16,uniform,random,32,1,0.40624,0.60573,0.41220,0.61090,2643.12195,1,0
row_owned_scalar,1024,16,uniform,random,32,1,1.67261,1.90291,1.68050,1.91150,641.95664,1,0
scalar_csr_cusparse,1024,16,uniform,random,32,1,3.01936,3.35555,3.03180,3.36550,355.61901,1,0
slot_grouped_cublas,1024,16,uniform,random,32,1,2.12246,2.36986,2.14120,2.37740,505.89402,16,0
row_owned_hybrid,1024,16,uniform,random,64,1,0.62445,0.92278,0.63060,0.92910,3439.01116,1,0
row_owned_scalar,1024,16,uniform,random,64,1,3.60019,3.80266,3.60700,3.81250,596.49141,1,0
scalar_csr_cusparse,1024,16,uniform,random,64,1,6.37584,6.43562,6.38750,6.45820,336.81579,1,0
slot_grouped_cublas,1024,16,uniform,random,64,1,2.15936,2.55856,2.17440,2.57150,994.50009,16,0
row_owned_hybrid,1024,2,low,local,8,1,0.03949,0.04179,0.04480,0.05150,845.32903,1,0
row_owned_scalar,1024,2,low,local,8,1,0.04086,0.04896,0.04600,0.06270,816.86456,1,0
scalar_csr_cusparse,1024,2,low,local,8,1,0.13162,0.14746,0.13690,0.26000,253.61926,1,0
slot_grouped_cublas,1024,2,low,local,8,1,0.24832,0.26554,0.25380,0.27100,134.42474,2,0
row_owned_hybrid,1024,2,low,local,16,1,0.04742,0.04797,0.05270,0.05940,1407.74090,1,0
row_owned_scalar,1024,2,low,local,16,1,0.06541,0.06605,0.07050,0.07150,1020.68104,1,0
scalar_csr_cusparse,1024,2,low,local,16,1,0.20275,0.21782,0.20930,0.22320,329.27274,1,0
slot_grouped_cublas,1024,2,low,local,16,1,0.24854,0.26960,0.25370,0.27510,268.60719,2,0
row_owned_hybrid,1024,2,low,local,32,1,0.04768,0.04774,0.05320,0.05820,2800.36500,1,0
row_owned_scalar,1024,2,low,local,32,1,0.11539,0.11648,0.12060,0.12150,1157.11149,1,0
scalar_csr_cusparse,1024,2,low,local,32,1,0.38739,0.39645,0.39270,0.40180,344.66742,1,0
slot_grouped_cublas,1024,2,low,local,32,1,0.26864,0.27258,0.27390,0.27840,497.02726,2,0
row_owned_hybrid,1024,2,low,local,64,1,0.07094,0.07952,0.09380,0.10050,3764.13551,1,0
row_owned_scalar,1024,2,low,local,64,1,0.22410,0.22624,0.22950,0.23290,1191.64472,1,0
scalar_csr_cusparse,1024,2,low,local,64,1,0.75984,0.98691,0.76670,0.99240,351.44611,1,0
slot_grouped_cublas,1024,2,low,local,64,1,0.26397,0.45994,0.27010,0.46530,1011.64848,2,0
row_owned_hybrid,1024,4,low,local,8,1,0.06880,0.06950,0.07400,0.08070,975.04741,1,0
row_owned_scalar,1024,4,low,local,8,1,0.06742,0.06842,0.07260,0.07350,994.94638,1,0
scalar_csr_cusparse,1024,4,low,local,8,1,0.25648,0.26861,0.26190,0.27420,261.55358,1,0
slot_grouped_cublas,1024,4,low,local,8,1,0.49776,0.51542,0.50320,0.52090,134.77030,4,0
row_owned_hybrid,1024,4,low,local,16,1,0.08400,0.09219,0.09050,0.10510,1597.22059,1,0
row_owned_scalar,1024,4,low,local,16,1,0.11530,0.11645,0.12060,0.12160,1163.67029,1,0
scalar_csr_cusparse,1024,4,low,local,16,1,0.40429,0.41597,0.40960,0.42180,331.85880,1,0
slot_grouped_cublas,1024,4,low,local,16,1,0.51738,0.62877,0.52410,0.63580,259.32113,4,0
row_owned_hybrid,1024,4,low,local,32,1,0.08237,0.08474,0.08780,0.09570,3257.73421,1,0
row_owned_scalar,1024,4,low,local,32,1,0.21149,0.21258,0.21690,0.21780,1268.78624,1,0
scalar_csr_cusparse,1024,4,low,local,32,1,0.79162,0.98669,0.79910,0.99250,338.96870,1,0
slot_grouped_cublas,1024,4,low,local,32,1,0.52256,0.71898,0.52890,0.72570,513.49712,4,0
row_owned_hybrid,1024,4,low,local,64,1,0.13542,0.13715,0.14080,0.14550,3962.85814,1,0
row_owned_scalar,1024,4,low,local,64,1,0.41274,0.64333,0.41930,0.66110,1300.26485,1,0
scalar_csr_cusparse,1024,4,low,local,64,1,1.57261,1.85901,1.57910,1.86670,341.25867,1,0
slot_grouped_cublas,1024,4,low,local,64,1,0.53942,0.54102,0.54500,0.54900,994.88734,4,0
row_owned_hybrid,1024,8,low,local,8,1,0.18285,0.18355,0.18800,0.19020,734.93592,1,0
row_owned_scalar,1024,8,low,local,8,1,0.18128,0.18397,0.18640,0.27030,741.29284,1,0
scalar_csr_cusparse,1024,8,low,local,8,1,0.54269,1.08778,0.55190,1.11580,247.62214,1,0
slot_grouped_cublas,1024,8,low,local,8,1,1.03686,1.05312,1.04880,1.27360,129.60385,8,0
row_owned_hybrid,1024,8,low,local,16,1,0.23190,0.25763,0.23730,0.68470,1158.94135,1,0
row_owned_scalar,1024,8,low,local,16,1,0.35658,0.63885,0.36230,0.64490,753.73312,1,0
scalar_csr_cusparse,1024,8,low,local,16,1,0.82323,1.36803,0.83160,1.37600,326.47314,1,0
slot_grouped_cublas,1024,8,low,local,16,1,1.05155,1.45613,1.05740,1.46330,255.58710,8,0
row_owned_hybrid,1024,8,low,local,32,1,0.22093,0.22205,0.22620,0.23300,2433.03826,1,0
row_owned_scalar,1024,8,low,local,32,1,0.68381,1.04160,0.68910,1.04850,786.07774,1,0
scalar_csr_cusparse,1024,8,low,local,32,1,1.62768,1.91827,1.63330,1.92430,330.24077,1,0
slot_grouped_cublas,1024,8,low,local,32,1,1.07094,1.34582,1.07660,1.35240,501.91821,8,0
row_owned_hybrid,1024,8,low,local,64,1,0.33811,0.35626,0.34360,0.36960,3179.57527,1,0
row_owned_scalar,1024,8,low,local,64,1,1.42646,1.79293,1.43700,1.80250,753.64858,1,0
scalar_csr_cusparse,1024,8,low,local,64,1,3.26909,3.79984,3.53460,3.82160,328.85396,1,0
slot_grouped_cublas,1024,8,low,local,64,1,1.08592,1.43805,1.09210,1.44600,989.99242,8,0
row_owned_hybrid,1024,16,low,local,8,1,0.47638,0.89507,0.48520,0.90080,561.09517,1,0
row_owned_scalar,1024,16,low,local,8,1,0.47366,0.81424,0.47900,0.83100,564.31727,1,0
scalar_csr_cusparse,1024,16,low,local,8,1,0.88397,0.88554,0.89070,1.01880,302.38286,1,0
slot_grouped_cublas,1024,16,low,local,8,1,2.07030,2.46131,2.07670,2.47060,129.10992,16,0
row_owned_hybrid,1024,16,low,local,16,1,0.45715,0.46003,0.46350,0.58900,1169.39995,1,0
row_owned_scalar,1024,16,low,local,16,1,0.86128,1.10266,0.86790,1.12380,620.69655,1,0
scalar_csr_cusparse,1024,16,low,local,16,1,1.46758,1.75110,1.47710,1.75920,364.26776,1,0
slot_grouped_cublas,1024,16,low,local,16,1,2.28298,2.45043,2.36190,2.45850,234.16521,16,0
row_owned_hybrid,1024,16,low,local,32,1,0.40736,0.40979,0.41340,0.42230,2624.67376,1,0
row_owned_scalar,1024,16,low,local,32,1,1.63526,1.95997,1.64120,1.96890,653.83146,1,0
scalar_csr_cusparse,1024,16,low,local,32,1,3.18723,3.46515,3.19430,3.49910,335.45944,1,0
slot_grouped_cublas,1024,16,low,local,32,1,2.31846,2.62621,2.32520,2.63270,461.16181,16,0
row_owned_hybrid,1024,16,low,local,64,1,0.62938,1.04250,0.63590,1.04930,3397.60996,1,0
row_owned_scalar,1024,16,low,local,64,1,3.53453,3.92557,3.54130,3.93940,604.99567,1,0
scalar_csr_cusparse,1024,16,low,local,64,1,6.33856,6.89229,6.48050,7.24110,337.35961,1,0
slot_grouped_cublas,1024,16,low,local,64,1,2.44064,2.51229,2.52040,2.96240,876.15305,16,0
row_owned_hybrid,1024,2,low,random,8,1,0.03958,0.04160,0.04490,0.05260,844.26193,1,0
row_owned_scalar,1024,2,low,random,8,1,0.04134,0.04182,0.04680,0.04700,808.32202,1,0
scalar_csr_cusparse,1024,2,low,random,8,1,0.13190,0.14950,0.13710,0.15520,253.36049,1,0
slot_grouped_cublas,1024,2,low,random,8,1,0.24922,0.41504,0.25460,0.42070,134.09758,2,0
row_owned_hybrid,1024,2,low,random,16,1,0.04598,0.04870,0.05150,0.06010,1453.51705,1,0
row_owned_scalar,1024,2,low,random,16,1,0.06602,0.06614,0.07130,0.07170,1012.45947,1,0
scalar_csr_cusparse,1024,2,low,random,16,1,0.20445,0.22224,0.21220,0.22830,326.92190,1,0
slot_grouped_cublas,1024,2,low,random,16,1,0.25962,0.82522,0.26780,0.84850,257.45151,2,0
row_owned_hybrid,1024,2,low,random,32,1,0.04742,0.05021,0.05300,0.06540,2818.76385,1,0
