method,block_rows,degree,distribution,locality,rhs,seed,gpu_median_ms,gpu_p95_ms,hot_median_ms,hot_p95_ms,useful_gflops,launches,workspace_bytes
row_owned_scalar,1024,16,uniform,local,8,1,0.45350,0.47606,0.49120,1.36190,591.91420,1,0
scalar_csr_cusparse,1024,16,uniform,local,8,1,0.93197,0.94637,0.93960,0.96510,288.03077,1,0
slot_grouped_cublas,1024,16,uniform,local,8,1,2.08010,2.13763,2.09770,2.18950,129.04955,16,0
row_owned_ilp4,1024,16,uniform,local,16,1,0.64035,0.82544,0.64580,0.83070,838.39967,1,0
row_owned_scalar,1024,16,uniform,local,16,1,0.86144,1.20627,0.86690,1.21330,623.22496,1,0
scalar_csr_cusparse,1024,16,uniform,local,16,1,1.51651,1.74198,1.52430,1.75020,354.01691,1,0
slot_grouped_cublas,1024,16,uniform,local,16,1,2.07760,3.06605,2.09530,3.07730,258.40918,16,0
row_owned_ilp4,1024,16,uniform,local,32,1,0.84582,0.96672,0.87070,1.69760,1269.46246,1,0
row_owned_scalar,1024,16,uniform,local,32,1,1.67923,2.58374,1.70470,2.59100,639.42435,1,0
scalar_csr_cusparse,1024,16,uniform,local,32,1,3.04461,3.94166,3.15000,3.95250,352.66996,1,0
slot_grouped_cublas,1024,16,uniform,local,32,1,2.17674,3.14538,2.21550,3.18430,493.28066,16,0
row_owned_ilp4,1024,16,uniform,local,64,1,1.64819,1.66566,1.68370,2.43960,1302.93290,1,0
row_owned_scalar,1024,16,uniform,local,64,1,3.31939,4.25107,3.64030,4.27400,646.95091,1,0
scalar_csr_cusparse,1024,16,uniform,local,64,1,6.53018,7.10278,6.55750,7.12570,328.85539,1,0
slot_grouped_cublas,1024,16,uniform,local,64,1,2.17930,3.06694,2.21080,3.08750,985.40246,16,0
row_owned_ilp4,1024,2,uniform,random,8,1,0.04502,0.07446,0.04990,0.09110,745.25657,1,0
row_owned_scalar,1024,2,uniform,random,8,1,0.03558,0.03766,0.04050,0.04270,942.96406,1,0
scalar_csr_cusparse,1024,2,uniform,random,8,1,0.13290,0.15568,0.13780,0.16850,252.48638,1,0
slot_grouped_cublas,1024,2,uniform,random,8,1,0.24438,1.09917,0.24980,1.10630,137.30208,2,0
row_owned_ilp4,1024,2,uniform,random,16,1,0.05213,0.05549,0.05790,0.06240,1287.38617,1,0
row_owned_scalar,1024,2,uniform,random,16,1,0.06214,0.06368,0.06690,0.06840,1079.89289,1,0
scalar_csr_cusparse,1024,2,uniform,random,16,1,0.20550,0.21750,0.21020,0.22220,326.55746,1,0
slot_grouped_cublas,1024,2,uniform,random,16,1,0.25824,0.33667,0.26350,0.36380,259.87012,2,0
row_owned_ilp4,1024,2,uniform,random,32,1,0.06774,0.08224,0.07260,0.09300,1981.24889,1,0
row_owned_scalar,1024,2,uniform,random,32,1,0.11888,0.15699,0.12360,0.17060,1129.01854,1,0
scalar_csr_cusparse,1024,2,uniform,random,32,1,0.39274,0.39382,0.39800,0.39960,341.75052,1,0
slot_grouped_cublas,1024,2,uniform,random,32,1,0.25213,0.28618,0.26030,0.31420,532.33963,2,0
row_owned_ilp4,1024,2,uniform,random,64,1,0.12384,0.12490,0.12990,0.13440,2167.59902,1,0
row_owned_scalar,1024,2,uniform,random,64,1,0.22877,0.24528,0.23340,0.25680,1173.39597,1,0
scalar_csr_cusparse,1024,2,uniform,random,64,1,0.77094,1.00176,0.77760,1.59340,348.19060,1,0
slot_grouped_cublas,1024,2,uniform,random,64,1,0.25667,0.28141,0.26240,0.29640,1045.83072,2,0
row_owned_ilp4,1024,4,uniform,random,8,1,0.07581,0.07600,0.08060,0.08600,885.24774,1,0
row_owned_scalar,1024,4,uniform,random,8,1,0.06195,0.06269,0.06730,0.06820,1083.23969,1,0
scalar_csr_cusparse,1024,4,uniform,random,8,1,0.25766,0.27171,0.26300,0.27710,260.45107,1,0
slot_grouped_cublas,1024,4,uniform,random,8,1,0.49187,1.36586,0.49730,1.37110,136.43562,4,0
row_owned_ilp4,1024,4,uniform,random,16,1,0.08928,0.09632,0.09460,0.10360,1503.33474,1,0
row_owned_scalar,1024,4,uniform,random,16,1,0.11264,0.11427,0.11750,0.12050,1191.56363,1,0
scalar_csr_cusparse,1024,4,uniform,random,16,1,0.40397,0.41933,0.40870,0.43730,332.24841,1,0
slot_grouped_cublas,1024,4,uniform,random,16,1,0.50480,0.50906,0.51240,1.34600,265.88297,4,0
row_owned_ilp4,1024,4,uniform,random,32,1,0.12653,0.12835,0.13300,0.15740,2121.54991,1,0
row_owned_scalar,1024,4,uniform,random,32,1,0.21552,0.21846,0.22090,0.22590,1245.52460,1,0
scalar_csr_cusparse,1024,4,uniform,random,32,1,0.80272,0.81389,0.81090,0.81950,334.40733,1,0
slot_grouped_cublas,1024,4,uniform,random,32,1,0.50768,1.40086,0.51340,1.40640,528.74932,4,0
row_owned_ilp4,1024,4,uniform,random,64,1,0.23638,0.23805,0.24190,0.24670,2271.18122,1,0
row_owned_scalar,1024,4,uniform,random,64,1,0.43856,0.45386,0.44720,0.48690,1224.16750,1,0
scalar_csr_cusparse,1024,4,uniform,random,64,1,1.57661,1.77533,1.61490,2.30980,340.52278,1,0
slot_grouped_cublas,1024,4,uniform,random,64,1,0.52237,0.54026,0.52880,1.39980,1027.76376,4,0
row_owned_ilp4,1024,8,uniform,random,8,1,0.20362,0.21942,0.20990,0.23000,659.17085,1,0
row_owned_scalar,1024,8,uniform,random,8,1,0.21498,0.22154,0.21970,0.22630,624.33820,1,0
scalar_csr_cusparse,1024,8,uniform,random,8,1,0.56982,1.31485,0.57830,1.32520,235.54244,1,0
slot_grouped_cublas,1024,8,uniform,random,8,1,1.03034,1.91107,1.03890,1.91670,130.26598,8,0
row_owned_ilp4,1024,8,uniform,random,16,1,0.33866,0.35248,0.36190,0.38350,792.64932,1,0
row_owned_scalar,1024,8,uniform,random,16,1,0.40845,0.44592,0.43170,1.25170,657.20838,1,0
scalar_csr_cusparse,1024,8,uniform,random,16,1,0.88234,1.12237,0.91580,1.68800,304.23268,1,0
slot_grouped_cublas,1024,8,uniform,random,16,1,1.03136,1.80669,1.04080,1.81320,260.27328,8,0
row_owned_ilp4,1024,8,uniform,random,32,1,0.43027,0.43130,0.43580,0.44100,1247.74769,1,0
row_owned_scalar,1024,8,uniform,random,32,1,0.77107,0.77584,0.77580,0.80010,696.26563,1,0
scalar_csr_cusparse,1024,8,uniform,random,32,1,1.71936,2.51997,1.73390,2.52720,312.25044,1,0
slot_grouped_cublas,1024,8,uniform,random,32,1,1.05539,1.95363,1.06840,1.96020,508.69336,8,0
row_owned_ilp4,1024,8,uniform,random,64,1,0.84810,0.85034,0.85570,0.86130,1266.06163,1,0
row_owned_scalar,1024,8,uniform,random,64,1,1.48240,1.83229,1.49300,2.26380,724.32668,1,0
scalar_csr_cusparse,1024,8,uniform,random,64,1,3.59814,4.35293,3.60520,4.36130,298.41546,1,0
slot_grouped_cublas,1024,8,uniform,random,64,1,1.06563,1.16346,1.08500,1.97450,1007.61036,8,0
