method,block_rows,degree,distribution,locality,rhs,seed,gpu_median_ms,gpu_p95_ms,hot_median_ms,hot_p95_ms,useful_gflops,launches,workspace_bytes
row_owned_scalar,1024,16,uniform,local,8,1,0.43792,0.43882,0.44380,0.44500,612.97829,1,0
scalar_csr_cusparse,1024,16,uniform,local,8,1,0.92611,0.94106,0.93250,0.95600,289.85205,1,0
slot_grouped_cublas,1024,16,uniform,local,8,1,2.12896,2.98502,2.14180,2.99450,126.08761,16,0
row_owned_hybrid,1024,16,uniform,local,16,1,0.63891,1.40234,0.64510,1.40790,840.28926,1,0
row_owned_scalar,1024,16,uniform,local,16,1,0.85933,1.80662,0.86930,1.81390,624.75670,1,0
scalar_csr_cusparse,1024,16,uniform,local,16,1,1.53094,1.55862,1.57700,2.29700,350.67966,1,0
slot_grouped_cublas,1024,16,uniform,local,16,1,2.09981,2.98480,2.20030,2.99440,255.67619,16,0
row_owned_hybrid,1024,16,uniform,local,32,1,0.83146,1.61264,0.83720,1.61830,1291.39944,1,0
row_owned_scalar,1024,16,uniform,local,32,1,1.66797,2.52717,1.80360,2.53800,643.74245,1,0
scalar_csr_cusparse,1024,16,uniform,local,32,1,3.31376,3.95027,3.32020,3.96360,324.02522,1,0
slot_grouped_cublas,1024,16,uniform,local,32,1,2.15898,3.00554,2.17070,3.03220,497.33845,16,0
row_owned_hybrid,1024,16,uniform,local,64,1,1.63382,2.48525,1.63930,2.49130,1314.39106,1,0
row_owned_scalar,1024,16,uniform,local,64,1,3.29549,4.40426,3.42900,4.41060,651.64357,1,0
scalar_csr_cusparse,1024,16,uniform,local,64,1,6.90845,7.08768,6.93910,7.11050,310.84892,1,0
slot_grouped_cublas,1024,16,uniform,local,64,1,2.20477,3.07133,2.25520,3.09840,974.01799,16,0
row_owned_hybrid,1024,2,uniform,random,8,1,0.03674,0.05776,0.05920,0.08100,913.39372,1,0
row_owned_scalar,1024,2,uniform,random,8,1,0.03472,0.03690,0.05710,0.05910,966.42950,1,0
scalar_csr_cusparse,1024,2,uniform,random,8,1,0.16653,0.17181,0.19090,0.19430,201.49423,1,0
slot_grouped_cublas,1024,2,uniform,random,8,1,0.30512,0.33859,0.32590,0.36330,109.97127,2,0
row_owned_hybrid,1024,2,uniform,random,16,1,0.05245,0.07533,0.07330,0.10630,1279.53140,1,0
row_owned_scalar,1024,2,uniform,random,16,1,0.06352,0.07664,0.08580,0.09950,1056.49976,1,0
scalar_csr_cusparse,1024,2,uniform,random,16,1,0.23642,0.23693,0.26010,0.26180,283.85923,1,0
slot_grouped_cublas,1024,2,uniform,random,16,1,0.31536,0.32531,0.34040,1.09040,212.80081,2,0
row_owned_hybrid,1024,2,uniform,random,32,1,0.06829,0.06851,0.07340,0.07740,1965.46584,1,0
row_owned_scalar,1024,2,uniform,random,32,1,0.11702,0.11875,0.12170,0.12390,1146.92483,1,0
scalar_csr_cusparse,1024,2,uniform,random,32,1,0.39120,0.40170,0.39590,0.41510,343.09235,1,0
slot_grouped_cublas,1024,2,uniform,random,32,1,0.26278,0.27443,0.26770,0.28940,510.75304,2,0
row_owned_hybrid,1024,2,uniform,random,64,1,0.12365,0.12506,0.12890,0.13610,2170.96476,1,0
row_owned_scalar,1024,2,uniform,random,64,1,0.22755,0.22819,0.23220,0.23340,1179.66645,1,0
scalar_csr_cusparse,1024,2,uniform,random,64,1,0.77216,1.58467,0.77700,1.58950,347.64227,1,0
slot_grouped_cublas,1024,2,uniform,random,64,1,0.27181,1.11315,0.27660,1.11860,987.59219,2,0
row_owned_hybrid,1024,4,uniform,random,8,1,0.06160,0.06330,0.06620,0.07350,1089.42962,1,0
row_owned_scalar,1024,4,uniform,random,8,1,0.06144,0.06906,0.06630,0.08080,1092.26669,1,0
scalar_csr_cusparse,1024,4,uniform,random,8,1,0.25450,0.27216,0.25930,0.28500,263.69319,1,0
slot_grouped_cublas,1024,4,uniform,random,8,1,0.50406,0.50618,0.51020,0.51180,133.13560,4,0
row_owned_hybrid,1024,4,uniform,random,16,1,0.08890,0.10259,0.09400,0.11340,1509.82867,1,0
row_owned_scalar,1024,4,uniform,random,16,1,0.11296,0.13853,0.11770,0.16940,1188.18807,1,0
scalar_csr_cusparse,1024,4,uniform,random,16,1,0.40314,0.41878,0.40810,0.43090,332.93413,1,0
slot_grouped_cublas,1024,4,uniform,random,16,1,0.54774,0.58109,0.58200,1.31140,245.03734,4,0
row_owned_hybrid,1024,4,uniform,random,32,1,0.12506,0.12666,0.13050,0.13800,2146.52203,1,0
row_owned_scalar,1024,4,uniform,random,32,1,0.21446,0.24672,0.21980,0.26030,1251.65745,1,0
scalar_csr_cusparse,1024,4,uniform,random,32,1,0.79018,1.60464,0.80580,1.61030,339.71604,1,0
slot_grouped_cublas,1024,4,uniform,random,32,1,0.51587,1.28982,0.52100,1.29580,520.35283,4,0
row_owned_hybrid,1024,4,uniform,random,64,1,0.23472,0.23549,0.23940,0.24710,2287.28228,1,0
row_owned_scalar,1024,4,uniform,random,64,1,0.43619,0.45312,0.45950,0.49290,1230.81328,1,0
scalar_csr_cusparse,1024,4,uniform,random,64,1,1.56384,1.61328,1.58570,2.47270,343.30296,1,0
slot_grouped_cublas,1024,4,uniform,random,64,1,0.52307,0.55184,0.52800,0.55680,1026.38051,4,0
row_owned_hybrid,1024,8,uniform,random,8,1,0.22138,0.23795,0.24340,0.26000,606.28852,1,0
row_owned_scalar,1024,8,uniform,random,8,1,0.21664,0.22330,0.23920,0.30820,619.54270,1,0
scalar_csr_cusparse,1024,8,uniform,random,8,1,0.56758,0.58064,0.57620,1.36360,236.47202,1,0
slot_grouped_cublas,1024,8,uniform,random,8,1,1.01738,1.84515,1.02880,1.86830,131.92540,8,0
row_owned_hybrid,1024,8,uniform,random,16,1,0.33395,0.34544,0.36170,1.22850,803.81447,1,0
row_owned_scalar,1024,8,uniform,random,16,1,0.39293,0.40947,0.41620,0.43270,683.16703,1,0
scalar_csr_cusparse,1024,8,uniform,random,16,1,0.88522,0.89152,0.89910,1.57780,303.24289,1,0
slot_grouped_cublas,1024,8,uniform,random,16,1,1.10234,1.12374,1.12950,1.94430,243.51508,8,0
row_owned_hybrid,1024,8,uniform,random,32,1,0.43034,0.45114,0.43800,1.30970,1247.56217,1,0
row_owned_scalar,1024,8,uniform,random,32,1,0.77274,1.73027,0.78120,1.73740,694.76626,1,0
scalar_csr_cusparse,1024,8,uniform,random,32,1,1.72883,1.93994,1.76340,2.60760,310.53966,1,0
slot_grouped_cublas,1024,8,uniform,random,32,1,1.04586,1.48755,1.05110,1.49560,513.33158,8,0
row_owned_hybrid,1024,8,uniform,random,64,1,0.85088,1.75344,0.87630,1.75850,1261.91918,1,0
row_owned_scalar,1024,8,uniform,random,64,1,1.47626,2.29789,1.48260,2.30410,727.34120,1,0
scalar_csr_cusparse,1024,8,uniform,random,64,1,3.42870,4.27043,3.56220,4.27930,313.16259,1,0
slot_grouped_cublas,1024,8,uniform,random,64,1,1.05725,1.91994,1.06460,1.92960,1015.60072,8,0
row_owned_hybrid,1024,16,uniform,random,8,1,0.43872,0.44893,0.44380,0.47500,611.86056,1,0
row_owned_scalar,1024,16,uniform,random,8,1,0.44048,0.47178,0.44590,1.36680,609.41577,1,0
scalar_csr_cusparse,1024,16,uniform,random,8,1,0.95264,1.73635,0.97950,1.75990,281.78059,1,0
slot_grouped_cublas,1024,16,uniform,random,8,1,2.07082,3.06941,2.09530,3.08330,129.62786,16,0
row_owned_hybrid,1024,16,uniform,random,16,1,0.63805,0.66214,0.64540,1.53290,841.42716,1,0
row_owned_scalar,1024,16,uniform,random,16,1,0.86141,1.08614,0.86690,1.09480,623.24812,1,0
scalar_csr_cusparse,1024,16,uniform,random,16,1,1.51731,2.35824,1.52290,2.36400,353.83026,1,0
slot_grouped_cublas,1024,16,uniform,random,16,1,2.06474,3.02352,2.07130,3.03000,260.01917,16,0
row_owned_hybrid,1024,16,uniform,random,32,1,0.83296,0.86515,0.83840,0.99680,1289.06768,1,0
row_owned_scalar,1024,16,uniform,random,32,1,1.69050,2.53907,1.71690,2.54490,635.16379,1,0
scalar_csr_cusparse,1024,16,uniform,random,32,1,3.03846,3.93830,3.16540,3.95220,353.38309,1,0
slot_grouped_cublas,1024,16,uniform,random,32,1,2.08563,3.08173,2.15910,3.10590,514.82801,16,0
row_owned_hybrid,1024,16,uniform,random,64,1,1.66339,2.47574,1.68790,2.51870,1291.02684,1,0
row_owned_scalar,1024,16,uniform,random,64,1,3.61123,4.34675,4.09890,4.37350,594.66786,1,0
scalar_csr_cusparse,1024,16,uniform,random,64,1,7.06432,7.19741,7.08320,7.21940,303.99014,1,0
slot_grouped_cublas,1024,16,uniform,random,64,1,2.18947,3.09472,2.26310,3.10580,980.82263,16,0
row_owned_hybrid,1024,2,low,local,8,1,0.04125,0.05830,0.04590,0.06910,809.25987,1,0
row_owned_scalar,1024,2,low,local,8,1,0.04080,0.04118,0.04570,0.04600,818.14585,1,0
scalar_csr_cusparse,1024,2,low,local,8,1,0.13018,0.13229,0.13510,0.13850,256.42479,1,0
slot_grouped_cublas,1024,2,low,local,8,1,0.26278,0.27475,0.27040,0.29250,127.02581,2,0
row_owned_hybrid,1024,2,low,local,16,1,0.04509,0.04566,0.04990,0.05470,1480.67564,1,0
row_owned_scalar,1024,2,low,local,16,1,0.06550,0.06605,0.07040,0.07100,1019.18516,1,0
scalar_csr_cusparse,1024,2,low,local,16,1,0.20333,0.20365,0.20820,0.21000,328.33995,1,0
slot_grouped_cublas,1024,2,low,local,16,1,0.24643,1.04970,0.25180,1.05580,270.90923,2,0
row_owned_hybrid,1024,2,low,local,32,1,0.07174,0.08618,0.09400,0.11570,1861.08112,1,0
row_owned_scalar,1024,2,low,local,32,1,0.11677,0.11830,0.13890,0.14080,1143.47600,1,0
scalar_csr_cusparse,1024,2,low,local,32,1,0.38678,0.40099,0.39210,0.41600,345.20924,1,0
slot_grouped_cublas,1024,2,low,local,32,1,0.30963,0.33181,0.33270,0.35750,431.22612,2,0
row_owned_hybrid,1024,2,low,local,64,1,0.12685,0.12723,0.13190,0.13680,2105.21902,1,0
row_owned_scalar,1024,2,low,local,64,1,0.22534,0.22627,0.23020,0.23240,1185.04515,1,0
scalar_csr_cusparse,1024,2,low,local,64,1,0.75898,1.05008,0.76420,1.05500,351.84620,1,0
slot_grouped_cublas,1024,2,low,local,64,1,0.26010,0.29075,0.26490,0.29560,1026.70861,2,0
row_owned_hybrid,1024,4,low,local,8,1,0.06886,0.08570,0.07400,0.09660,974.14122,1,0
row_owned_scalar,1024,4,low,local,8,1,0.06784,0.06806,0.07240,0.07290,988.84525,1,0
scalar_csr_cusparse,1024,4,low,local,8,1,0.25616,0.27210,0.26140,0.27730,261.88033,1,0
slot_grouped_cublas,1024,4,low,local,8,1,0.55443,0.58630,0.58120,1.26510,120.99458,4,0
row_owned_hybrid,1024,4,low,local,16,1,0.07904,0.07981,0.08380,0.08980,1697.45105,1,0
row_owned_scalar,1024,4,low,local,16,1,0.11626,0.11744,0.12130,0.12290,1154.06112,1,0
scalar_csr_cusparse,1024,4,low,local,16,1,0.40461,0.41971,0.41530,1.23200,331.59632,1,0
slot_grouped_cublas,1024,4,low,local,16,1,0.49622,1.32317,0.50260,1.33030,270.37493,4,0
row_owned_hybrid,1024,4,low,local,32,1,0.13101,0.13904,0.13610,0.14410,2048.21887,1,0
row_owned_scalar,1024,4,low,local,32,1,0.21171,0.21382,0.21690,0.21940,1267.44376,1,0
scalar_csr_cusparse,1024,4,low,local,32,1,0.79222,1.67926,0.79870,1.68470,338.70857,1,0
