method,block_rows,degree,distribution,locality,rhs,seed,gpu_median_ms,gpu_p95_ms,hot_median_ms,hot_p95_ms,useful_gflops,launches,workspace_bytes
row_owned_scalar,1024,16,uniform,local,8,1,0.43731,0.43830,0.44330,0.44420,613.83052,1,0
scalar_csr_cusparse,1024,16,uniform,local,8,1,0.93174,1.12310,0.93750,1.13790,288.10002,1,0
slot_grouped_cublas,1024,16,uniform,local,8,1,2.08832,2.26029,2.10120,2.26730,128.54134,16,0
row_owned_hybrid,1024,16,uniform,local,16,1,0.37603,0.57024,0.38160,0.59580,1427.72668,1,0
row_owned_scalar,1024,16,uniform,local,16,1,0.85939,1.10051,0.86560,1.11240,624.71017,1,0
scalar_csr_cusparse,1024,16,uniform,local,16,1,1.51638,1.71088,1.52310,1.72390,354.04680,1,0
slot_grouped_cublas,1024,16,uniform,local,16,1,2.07635,2.27469,2.08330,2.28170,258.56451,16,0
row_owned_hybrid,1024,16,uniform,local,32,1,0.57370,0.78416,0.57980,0.79010,1871.62154,1,0
row_owned_scalar,1024,16,uniform,local,32,1,1.65990,1.89613,1.66610,1.90230,646.86983,1,0
scalar_csr_cusparse,1024,16,uniform,local,32,1,3.02784,3.22890,3.04230,3.24980,354.62305,1,0
slot_grouped_cublas,1024,16,uniform,local,32,1,2.12022,2.53552,2.14120,2.55060,506.42848,16,0
row_owned_hybrid,1024,16,uniform,local,64,1,0.88918,1.07456,0.89610,1.08090,2415.11729,1,0
row_owned_scalar,1024,16,uniform,local,64,1,3.28925,3.52630,3.29840,3.54980,652.87982,1,0
scalar_csr_cusparse,1024,16,uniform,local,64,1,6.22445,6.23789,6.24050,6.25420,345.00788,1,0
slot_grouped_cublas,1024,16,uniform,local,64,1,2.15933,2.35267,2.17090,2.35980,994.51480,16,0
row_owned_hybrid,1024,2,uniform,random,8,1,0.03619,0.04467,0.04170,0.06040,927.12290,1,0
row_owned_scalar,1024,2,uniform,random,8,1,0.03539,0.03843,0.04070,0.04360,948.07953,1,0
scalar_csr_cusparse,1024,2,uniform,random,8,1,0.13450,0.50250,0.14070,0.50870,249.48274,1,0
slot_grouped_cublas,1024,2,uniform,random,8,1,0.24720,0.27824,0.25370,0.29390,135.73800,2,0
row_owned_hybrid,1024,2,uniform,random,16,1,0.05421,0.05709,0.06120,0.06570,1237.98821,1,0
row_owned_scalar,1024,2,uniform,random,16,1,0.06208,0.06330,0.06740,0.07270,1081.00619,1,0
scalar_csr_cusparse,1024,2,uniform,random,16,1,0.20493,0.22861,0.21410,0.23900,327.47533,1,0
slot_grouped_cublas,1024,2,uniform,random,16,1,0.26141,0.26512,0.26670,0.27050,256.72077,2,0
row_owned_hybrid,1024,2,uniform,random,32,1,0.06198,0.06314,0.06710,0.07370,2165.36091,1,0
