method,block_rows,degree,distribution,locality,rhs,seed,gpu_median_ms,gpu_p95_ms,hot_median_ms,hot_p95_ms,useful_gflops,launches,workspace_bytes
row_owned_hybrid,4096,2,uniform,local,8,5,0.25411,0.27126,0.25880,0.70390,528.18334,1,0
row_owned_scalar,4096,2,uniform,local,8,5,0.25411,0.51456,0.25890,0.52060,528.18334,1,0
scalar_csr_cusparse,4096,2,uniform,local,8,5,0.48326,0.79504,0.48820,0.81840,277.73169,1,0
slot_grouped_cublas,4096,2,uniform,local,8,5,0.91626,1.53216,0.92310,1.53720,146.48496,2,0
row_owned_hybrid,4096,2,uniform,local,16,5,0.21357,0.40307,0.21870,0.69930,1256.90859,1,0
row_owned_scalar,4096,2,uniform,local,16,5,0.49827,0.52522,0.50430,1.09830,538.73277,1,0
scalar_csr_cusparse,4096,2,uniform,local,16,5,0.77360,1.31667,0.78100,1.32900,346.99517,1,0
slot_grouped_cublas,4096,2,uniform,local,16,5,0.91536,1.39098,0.92320,1.39630,293.25671,2,0
row_owned_hybrid,4096,2,uniform,local,32,5,0.27050,0.76560,0.27530,0.77040,1984.76462,1,0
row_owned_scalar,4096,2,uniform,local,32,5,0.99894,1.50358,1.00690,1.51060,537.43846,1,0
scalar_csr_cusparse,4096,2,uniform,local,32,5,1.52768,1.84317,1.55810,2.15850,351.42890,1,0
slot_grouped_cublas,4096,2,uniform,local,32,5,1.01296,1.38333,1.02700,1.39630,530.00211,2,0
row_owned_hybrid,4096,2,uniform,local,64,5,0.40483,0.75738,0.41010,0.76270,2652.31456,1,0
row_owned_scalar,4096,2,uniform,local,64,5,2.11843,2.28429,2.17470,2.51250,506.85686,1,0
scalar_csr_cusparse,4096,2,uniform,local,64,5,3.34762,3.81626,3.40370,3.82550,320.74821,1,0
slot_grouped_cublas,4096,2,uniform,local,64,5,1.15411,1.56883,1.17690,1.57540,930.36191,2,0
row_owned_hybrid,4096,4,uniform,local,8,5,0.45722,0.76483,0.46360,0.78280,587.10863,1,0
row_owned_scalar,4096,4,uniform,local,8,5,0.45677,0.74765,0.46160,0.76990,587.68445,1,0
scalar_csr_cusparse,4096,4,uniform,local,8,5,0.97386,1.26493,0.98250,1.40660,275.64184,1,0
slot_grouped_cublas,4096,4,uniform,local,8,5,1.87376,2.07069,1.88930,2.49500,143.26032,4,0
row_owned_hybrid,4096,4,uniform,local,16,5,0.36109,0.82662,0.36620,0.85160,1486.81457,1,0
row_owned_scalar,4096,4,uniform,local,16,5,0.89869,1.18464,0.90380,1.19720,597.39409,1,0
