method,block_rows,degree,distribution,locality,rhs,seed,gpu_median_ms,gpu_p95_ms,hot_median_ms,hot_p95_ms,useful_gflops,launches,workspace_bytes
row_owned_scalar,4096,16,uniform,local,8,1,1.67766,2.01357,1.81460,2.02130,640.02196,1,0
scalar_csr_cusparse,4096,16,uniform,local,8,1,3.92554,4.22006,3.94530,4.22900,273.52745,1,0
slot_grouped_cublas,4096,16,uniform,local,8,1,8.06141,8.39549,8.20890,8.41890,133.19532,16,0
row_owned_hybrid,4096,16,uniform,local,16,1,1.17542,1.47978,1.19360,1.48960,1826.98642,1,0
row_owned_scalar,4096,16,uniform,local,16,1,3.32474,3.88595,3.53670,3.89990,645.91101,1,0
scalar_csr_cusparse,4096,16,uniform,local,16,1,6.53075,7.07578,6.55150,7.09210,328.82639,1,0
slot_grouped_cublas,4096,16,uniform,local,16,1,8.49206,8.74448,8.51370,8.76710,252.88122,16,0
row_owned_hybrid,4096,16,uniform,local,32,1,1.53872,1.88358,1.57170,1.90050,2791.25979,1,0
row_owned_scalar,4096,16,uniform,local,32,1,7.02598,7.39014,7.12070,7.41610,611.29764,1,0
scalar_csr_cusparse,4096,16,uniform,local,32,1,12.82413,13.46515,12.84750,13.48880,334.91301,1,0
slot_grouped_cublas,4096,16,uniform,local,32,1,9.45622,9.90752,9.48670,9.93150,454.19473,16,0
row_owned_hybrid,4096,16,uniform,local,64,1,2.36365,2.88890,2.37740,2.90170,3634.18530,1,0
row_owned_scalar,4096,16,uniform,local,64,1,13.83226,14.31008,13.85940,14.34540,621.00748,1,0
scalar_csr_cusparse,4096,16,uniform,local,64,1,25.44102,25.89629,25.45860,26.16480,337.64106,1,0
slot_grouped_cublas,4096,16,uniform,local,64,1,11.77718,12.52656,11.80690,12.77320,729.37087,16,0
row_owned_hybrid,4096,2,uniform,random,8,1,0.25667,0.53658,0.26370,0.54180,522.91536,1,0
row_owned_scalar,4096,2,uniform,random,8,1,0.25395,0.46138,0.26190,0.49290,528.51614,1,0
scalar_csr_cusparse,4096,2,uniform,random,8,1,0.48419,0.68426,0.48910,0.69660,277.19938,1,0
slot_grouped_cublas,4096,2,uniform,random,8,1,0.92320,1.22870,0.93050,1.33120,145.38315,2,0
row_owned_hybrid,4096,2,uniform,random,16,1,0.19450,0.22509,0.19940,0.33570,1380.15922,1,0
row_owned_scalar,4096,2,uniform,random,16,1,0.49971,0.87139,0.50650,0.87790,537.18034,1,0
scalar_csr_cusparse,4096,2,uniform,random,16,1,0.77750,0.97763,0.78590,1.14850,345.25282,1,0
slot_grouped_cublas,4096,2,uniform,random,16,1,0.91133,1.29952,0.91710,1.31570,294.55416,2,0
row_owned_hybrid,4096,2,uniform,random,32,1,0.25648,0.50563,0.26150,0.51040,2093.22713,1,0
row_owned_scalar,4096,2,uniform,random,32,1,1.00320,1.29053,1.03540,1.34910,535.15838,1,0
scalar_csr_cusparse,4096,2,uniform,random,32,1,1.54563,2.14061,1.55680,2.15340,347.34718,1,0
slot_grouped_cublas,4096,2,uniform,random,32,1,1.00672,1.35312,1.01230,1.35980,533.28725,2,0
row_owned_hybrid,4096,2,uniform,random,64,1,0.39037,0.84397,0.39550,0.85100,2750.58863,1,0
row_owned_scalar,4096,2,uniform,random,64,1,1.98147,2.31078,2.29030,2.64620,541.89099,1,0
scalar_csr_cusparse,4096,2,uniform,random,64,1,3.32614,3.85891,3.44560,3.87780,322.81880,1,0
slot_grouped_cublas,4096,2,uniform,random,64,1,1.16742,1.49434,1.17220,1.86240,919.75311,2,0
row_owned_hybrid,4096,4,uniform,random,8,1,0.46189,0.66211,0.46720,0.66730,581.17003,1,0
row_owned_scalar,4096,4,uniform,random,8,1,0.46160,0.78829,0.46700,0.79590,581.53261,1,0
scalar_csr_cusparse,4096,4,uniform,random,8,1,0.98006,1.32195,0.98610,1.32920,273.89585,1,0
slot_grouped_cublas,4096,4,uniform,random,8,1,1.88355,2.49779,1.91110,2.70980,142.51556,4,0
row_owned_hybrid,4096,4,uniform,random,16,1,0.34294,0.54291,0.34800,0.54850,1565.47692,1,0
row_owned_scalar,4096,4,uniform,random,16,1,0.91126,1.26368,0.91830,1.26950,589.14970,1,0
scalar_csr_cusparse,4096,4,uniform,random,16,1,1.57286,1.80787,1.59240,1.84980,341.33332,1,0
slot_grouped_cublas,4096,4,uniform,random,16,1,1.93814,2.48717,2.02240,2.50010,277.00260,4,0
row_owned_hybrid,4096,4,uniform,random,32,1,0.45552,0.76650,0.46510,0.77150,2357.17820,1,0
row_owned_scalar,4096,4,uniform,random,32,1,1.84406,2.34310,2.02020,2.35180,582.26928,1,0
scalar_csr_cusparse,4096,4,uniform,random,32,1,3.15782,3.72970,3.32700,3.73620,340.02586,1,0
slot_grouped_cublas,4096,4,uniform,random,32,1,2.16278,2.65510,2.23110,2.68010,496.46279,4,0
row_owned_hybrid,4096,4,uniform,random,64,1,0.71235,1.04688,0.73280,1.08230,3014.63843,1,0
row_owned_scalar,4096,4,uniform,random,64,1,3.94218,4.20896,3.99860,4.22410,544.74574,1,0
scalar_csr_cusparse,4096,4,uniform,random,64,1,6.77021,7.10624,6.81610,7.12840,317.19612,1,0
slot_grouped_cublas,4096,4,uniform,random,64,1,2.52800,3.07706,2.55930,3.09460,849.47925,4,0
row_owned_hybrid,4096,8,uniform,random,8,1,0.86851,1.07142,0.87430,1.12170,618.15027,1,0
