method,block_rows,degree,distribution,locality,rhs,seed,gpu_median_ms,gpu_p95_ms,hot_median_ms,hot_p95_ms,useful_gflops,launches,workspace_bytes
row_owned_hybrid,4096,2,uniform,local,8,4,0.25206,0.26371,0.25710,0.27420,532.47482,1,0
row_owned_scalar,4096,2,uniform,local,8,4,0.25267,0.25414,0.25760,0.26070,531.19354,1,0
scalar_csr_cusparse,4096,2,uniform,local,8,4,0.48736,0.73530,0.49310,0.74060,275.39750,1,0
slot_grouped_cublas,4096,2,uniform,local,8,4,0.91802,1.18298,0.92480,1.30320,146.20412,2,0
row_owned_hybrid,4096,2,uniform,local,16,4,0.21411,0.39466,0.21900,0.39950,1253.71515,1,0
row_owned_scalar,4096,2,uniform,local,16,4,0.49786,0.85171,0.50280,0.86740,539.18294,1,0
scalar_csr_cusparse,4096,2,uniform,local,16,4,0.77043,1.19245,0.77950,1.20010,348.42200,1,0
slot_grouped_cublas,4096,2,uniform,local,16,4,0.91734,1.36995,0.92320,1.38220,292.62247,2,0
row_owned_hybrid,4096,2,uniform,local,32,4,0.27056,0.28842,0.27530,0.31590,1984.29524,1,0
row_owned_scalar,4096,2,uniform,local,32,4,0.99277,1.28832,1.00780,1.29470,540.78185,1,0
scalar_csr_cusparse,4096,2,uniform,local,32,4,1.52288,1.72486,1.53110,1.73550,352.53659,1,0
slot_grouped_cublas,4096,2,uniform,local,32,4,1.00787,1.21709,1.01860,1.62620,532.67768,2,0
row_owned_hybrid,4096,2,uniform,local,64,4,0.40550,0.62912,0.42660,0.65880,2647.91927,1,0
row_owned_scalar,4096,2,uniform,local,64,4,1.99837,2.20163,2.02980,2.42990,537.30935,1,0
scalar_csr_cusparse,4096,2,uniform,local,64,4,3.26310,3.56774,3.28510,3.58930,329.05535,1,0
slot_grouped_cublas,4096,2,uniform,local,64,4,1.15405,1.37747,1.16700,1.38460,930.41351,2,0
row_owned_hybrid,4096,4,uniform,local,8,4,0.45779,0.84298,0.46250,0.84970,586.36990,1,0
row_owned_scalar,4096,4,uniform,local,8,4,0.45795,0.80061,0.46310,0.81590,586.16506,1,0
scalar_csr_cusparse,4096,4,uniform,local,8,4,0.97379,1.17558,0.97960,1.18080,275.65995,1,0
slot_grouped_cublas,4096,4,uniform,local,8,4,1.86762,2.32275,1.91880,2.32930,143.73161,4,0
row_owned_hybrid,4096,4,uniform,local,16,4,0.35939,0.59165,0.36510,0.59640,1493.83106,1,0
row_owned_scalar,4096,4,uniform,local,16,4,0.90000,1.14154,0.90540,1.15410,596.52325,1,0
scalar_csr_cusparse,4096,4,uniform,local,16,4,1.57654,1.94579,1.59120,1.95250,340.53658,1,0
slot_grouped_cublas,4096,4,uniform,local,16,4,1.88240,2.24707,1.92200,2.25320,285.20554,4,0
row_owned_hybrid,4096,4,uniform,local,32,4,0.45488,0.65654,0.46010,0.66500,2360.49469,1,0
row_owned_scalar,4096,4,uniform,local,32,4,1.79869,2.20397,1.81900,2.22380,596.95833,1,0
scalar_csr_cusparse,4096,4,uniform,local,32,4,3.32048,3.63395,3.33540,3.64600,323.36945,1,0
slot_grouped_cublas,4096,4,uniform,local,32,4,2.14035,2.67462,2.15410,2.68780,501.66600,4,0
row_owned_hybrid,4096,4,uniform,local,64,4,0.69642,0.89581,0.70200,1.13300,3083.62184,1,0
row_owned_scalar,4096,4,uniform,local,64,4,3.57530,4.33379,3.70100,4.34670,600.64501,1,0
scalar_csr_cusparse,4096,4,uniform,local,64,4,6.53981,7.00851,6.58680,7.02800,328.37106,1,0
slot_grouped_cublas,4096,4,uniform,local,64,4,2.53197,2.96832,2.65820,2.99630,848.14798,4,0
row_owned_hybrid,4096,8,uniform,local,8,4,0.85846,1.32163,0.88000,1.35180,625.38547,1,0
row_owned_scalar,4096,8,uniform,local,8,4,0.86224,1.10096,0.88100,1.13380,622.64671,1,0
scalar_csr_cusparse,4096,8,uniform,local,8,4,2.25754,2.64611,2.27970,2.67380,237.81279,1,0
slot_grouped_cublas,4096,8,uniform,local,8,4,3.97453,4.50688,3.98350,4.51640,135.07790,8,0
row_owned_hybrid,4096,8,uniform,local,16,4,0.63901,0.84211,0.64380,1.01590,1680.32614,1,0
row_owned_scalar,4096,8,uniform,local,16,4,1.70003,2.11254,1.71250,2.12000,631.60095,1,0
scalar_csr_cusparse,4096,8,uniform,local,16,4,3.63181,3.89152,3.64000,3.89990,295.64939,1,0
slot_grouped_cublas,4096,8,uniform,local,16,4,4.06442,4.63651,4.07200,4.64400,264.18109,8,0
