method,block_rows,degree,distribution,locality,rhs,seed,gpu_median_ms,gpu_p95_ms,hot_median_ms,hot_p95_ms,useful_gflops,launches,workspace_bytes
row_owned_hybrid,4096,2,uniform,local,8,2,0.25242,0.25728,0.25780,0.36750,531.73222,1,0
row_owned_scalar,4096,2,uniform,local,8,2,0.25341,0.43328,0.25810,0.43850,529.65068,1,0
scalar_csr_cusparse,4096,2,uniform,local,8,2,0.51053,0.64474,0.53540,0.67520,262.89982,1,0
slot_grouped_cublas,4096,2,uniform,local,8,2,0.96179,1.22147,0.98740,1.24520,139.54964,2,0
row_owned_hybrid,4096,2,uniform,local,16,2,0.21507,0.36829,0.21990,0.37310,1248.11900,1,0
row_owned_scalar,4096,2,uniform,local,16,2,0.49626,0.67776,0.50130,0.68390,540.92134,1,0
scalar_csr_cusparse,4096,2,uniform,local,16,2,0.76954,0.99318,0.77520,1.00570,348.82767,1,0
slot_grouped_cublas,4096,2,uniform,local,16,2,0.91507,1.10867,0.92020,1.13180,293.34899,2,0
row_owned_hybrid,4096,2,uniform,local,32,2,0.27011,0.46675,0.29030,0.53270,1987.58625,1,0
row_owned_scalar,4096,2,uniform,local,32,2,0.98918,1.19622,1.01180,1.22140,542.74119,1,0
scalar_csr_cusparse,4096,2,uniform,local,32,2,1.55069,1.78800,1.59350,1.84700,346.21465,1,0
slot_grouped_cublas,4096,2,uniform,local,32,2,1.01885,1.21498,1.02920,1.23080,526.93919,2,0
row_owned_hybrid,4096,2,uniform,local,64,2,0.40595,0.59466,0.41150,0.60120,2644.99696,1,0
row_owned_scalar,4096,2,uniform,local,64,2,1.96957,2.18675,1.98510,2.20480,545.16616,1,0
scalar_csr_cusparse,4096,2,uniform,local,64,2,3.10131,3.38464,3.13000,3.41350,346.22181,1,0
slot_grouped_cublas,4096,2,uniform,local,64,2,1.16576,1.39699,1.18630,1.41740,921.06590,2,0
row_owned_hybrid,4096,4,uniform,local,8,2,0.45843,0.64630,0.48050,0.67330,585.55132,1,0
row_owned_scalar,4096,4,uniform,local,8,2,0.45747,0.67306,0.46230,0.67990,586.78008,1,0
scalar_csr_cusparse,4096,4,uniform,local,8,2,0.98957,1.20000,1.01260,1.21340,271.26530,1,0
slot_grouped_cublas,4096,4,uniform,local,8,2,1.86608,2.07472,1.87370,2.08130,143.84992,4,0
row_owned_hybrid,4096,4,uniform,local,16,2,0.36291,0.51613,0.36760,0.52160,1479.34186,1,0
row_owned_scalar,4096,4,uniform,local,16,2,0.89894,1.10294,0.90380,1.10840,597.22396,1,0
scalar_csr_cusparse,4096,4,uniform,local,16,2,1.59552,1.76682,1.62140,1.79540,336.48648,1,0
slot_grouped_cublas,4096,4,uniform,local,16,2,1.93520,2.14285,1.96010,2.16930,277.42400,4,0
row_owned_hybrid,4096,4,uniform,local,32,2,0.45494,0.63453,0.45980,0.63930,2360.16255,1,0
row_owned_scalar,4096,4,uniform,local,32,2,1.79110,2.00314,1.80900,2.02710,599.48604,1,0
scalar_csr_cusparse,4096,4,uniform,local,32,2,3.16051,3.35949,3.19030,3.46120,339.73667,1,0
slot_grouped_cublas,4096,4,uniform,local,32,2,2.18966,2.42358,2.20560,2.43140,490.36833,4,0
row_owned_hybrid,4096,4,uniform,local,64,2,0.69699,0.90550,0.70190,0.92120,3081.07368,1,0
row_owned_scalar,4096,4,uniform,local,64,2,3.60355,3.79539,3.62840,3.83120,595.93523,1,0
scalar_csr_cusparse,4096,4,uniform,local,64,2,6.50928,6.53680,6.53050,6.55940,329.91108,1,0
slot_grouped_cublas,4096,4,uniform,local,64,2,2.52339,2.80570,2.54580,2.81390,851.03055,4,0
row_owned_hybrid,4096,8,uniform,local,8,2,0.85862,1.06979,0.86910,1.07700,625.26895,1,0
row_owned_scalar,4096,8,uniform,local,8,2,0.85962,1.09034,0.88230,1.10440,624.54738,1,0
scalar_csr_cusparse,4096,8,uniform,local,8,2,2.24966,2.43523,2.26760,2.44170,238.64492,1,0
slot_grouped_cublas,4096,8,uniform,local,8,2,3.95597,4.13718,3.98670,4.14480,135.71165,8,0
row_owned_hybrid,4096,8,uniform,local,16,2,0.64509,1.14371,0.64990,1.14870,1664.48887,1,0
row_owned_scalar,4096,8,uniform,local,16,2,1.69277,2.05571,1.70430,2.06210,634.31128,1,0
scalar_csr_cusparse,4096,8,uniform,local,16,2,3.47395,3.65498,3.52960,3.76700,309.08366,1,0
slot_grouped_cublas,4096,8,uniform,local,16,2,4.13018,4.46118,4.13630,4.47620,259.97483,8,0
row_owned_hybrid,4096,8,uniform,local,32,2,0.85453,1.07024,0.87380,1.08300,2513.06408,1,0
row_owned_scalar,4096,8,uniform,local,32,2,3.36976,3.58918,3.38300,3.60300,637.28088,1,0
scalar_csr_cusparse,4096,8,uniform,local,32,2,7.09040,7.10512,7.11560,7.13610,302.87199,1,0
slot_grouped_cublas,4096,8,uniform,local,32,2,4.53606,4.83382,4.54630,4.85960,473.42444,8,0
row_owned_hybrid,4096,8,uniform,local,64,2,1.25546,1.44899,1.26090,1.46760,3421.04175,1,0
row_owned_scalar,4096,8,uniform,local,64,2,6.91494,6.94125,6.93200,6.96350,621.11381,1,0
scalar_csr_cusparse,4096,8,uniform,local,64,2,14.15782,14.51600,14.17270,14.56120,303.36353,1,0
slot_grouped_cublas,4096,8,uniform,local,64,2,5.39587,6.06861,5.42050,6.08660,795.97277,8,0
row_owned_hybrid,4096,16,uniform,local,8,2,1.67709,1.89347,1.70110,1.93630,640.24178,1,0
row_owned_scalar,4096,16,uniform,local,8,2,1.68038,1.89811,1.68930,1.92840,638.98597,1,0
scalar_csr_cusparse,4096,16,uniform,local,8,2,3.86192,4.13427,3.87640,4.14820,278.03315,1,0
slot_grouped_cublas,4096,16,uniform,local,8,2,7.81901,7.98755,7.84650,8.00450,137.32456,16,0
row_owned_hybrid,4096,16,uniform,local,16,2,1.22477,1.41037,1.25740,1.43150,1753.37988,1,0
row_owned_scalar,4096,16,uniform,local,16,2,3.31165,3.53789,3.33670,3.56560,648.46376,1,0
scalar_csr_cusparse,4096,16,uniform,local,16,2,6.23344,6.31040,6.26000,6.33020,344.51020,1,0
slot_grouped_cublas,4096,16,uniform,local,16,2,7.95453,8.72864,7.96850,8.74970,269.96997,16,0
row_owned_hybrid,4096,16,uniform,local,32,2,1.53632,1.76749,1.55770,1.79720,2795.62030,1,0
row_owned_scalar,4096,16,uniform,local,32,2,6.76192,7.31728,6.78950,7.34010,635.16979,1,0
scalar_csr_cusparse,4096,16,uniform,local,32,2,12.30531,12.50458,12.34820,12.52100,349.03359,1,0
slot_grouped_cublas,4096,16,uniform,local,32,2,9.20845,9.59062,9.24580,9.60330,466.41596,16,0
row_owned_hybrid,4096,16,uniform,local,64,2,2.36800,2.57453,2.39190,2.60950,3627.50612,1,0
row_owned_scalar,4096,16,uniform,local,64,2,13.45242,14.09149,13.48480,14.10940,638.54213,1,0
scalar_csr_cusparse,4096,16,uniform,local,64,2,24.81837,25.28150,24.85420,25.32090,346.11197,1,0
slot_grouped_cublas,4096,16,uniform,local,64,2,10.87642,11.18698,10.89610,11.22020,789.77619,16,0
row_owned_hybrid,4096,2,uniform,random,8,2,0.25219,0.42883,0.25700,0.43360,532.20456,1,0
