method,block_rows,degree,distribution,locality,rhs,seed,gpu_median_ms,gpu_p95_ms,hot_median_ms,hot_p95_ms,useful_gflops,launches,workspace_bytes
row_owned_hybrid,4096,2,uniform,local,8,3,0.25405,0.53296,0.25880,0.53900,528.31643,1,0
row_owned_scalar,4096,2,uniform,local,8,3,0.25411,0.53440,0.25880,0.55930,528.18334,1,0
scalar_csr_cusparse,4096,2,uniform,local,8,3,0.51206,0.78749,0.53580,0.79700,262.11125,1,0
slot_grouped_cublas,4096,2,uniform,local,8,3,0.95866,1.42166,0.99710,1.46550,140.00614,2,0
row_owned_hybrid,4096,2,uniform,local,16,3,0.21443,0.48624,0.22220,0.51420,1251.84420,1,0
row_owned_scalar,4096,2,uniform,local,16,3,0.49965,0.80032,0.52180,0.82260,537.24913,1,0
scalar_csr_cusparse,4096,2,uniform,local,16,3,0.78010,1.09904,0.81170,1.10880,344.10567,1,0
slot_grouped_cublas,4096,2,uniform,local,16,3,0.91965,1.33360,0.95270,1.34600,291.88935,2,0
row_owned_hybrid,4096,2,uniform,local,32,3,0.26906,0.54595,0.27430,0.55120,1995.38731,1,0
row_owned_scalar,4096,2,uniform,local,32,3,0.99942,1.29661,1.02540,1.31670,537.18034,1,0
scalar_csr_cusparse,4096,2,uniform,local,32,3,1.53568,1.86512,1.59440,1.89520,349.59815,1,0
slot_grouped_cublas,4096,2,uniform,local,32,3,1.02666,1.45347,1.09400,1.46170,522.93163,2,0
row_owned_hybrid,4096,2,uniform,local,64,3,0.40544,0.69024,0.42810,0.71310,2648.33716,1,0
row_owned_scalar,4096,2,uniform,local,64,3,1.98557,2.53059,2.11220,2.54580,540.77312,1,0
scalar_csr_cusparse,4096,2,uniform,local,64,3,3.36416,3.62323,3.37630,3.65620,319.17085,1,0
slot_grouped_cublas,4096,2,uniform,local,64,3,1.16963,1.63011,1.20060,1.65990,918.01683,2,0
row_owned_hybrid,4096,4,uniform,local,8,3,0.46797,0.48915,0.49120,0.82920,573.61927,1,0
row_owned_scalar,4096,4,uniform,local,8,3,0.45766,0.79126,0.46260,0.79700,586.53389,1,0
scalar_csr_cusparse,4096,4,uniform,local,8,3,0.97501,1.30547,0.99030,1.34390,275.31615,1,0
